ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2312,Marine Transport Professionals,23.6,16.2,26.1,7.5,17.2,5.9,1.9,1.6
2321,Architects and Landscape Architects,37.2,31.6,15.6,5.0,7.8,1.4,0.6,0.8
2322,Surveyors and Spatial Scientists,25.3,24.5,21.3,5.2,19.4,1.8,1.0,1.5
2323,"Fashion, Industrial and Jewellery Designers",37.1,41.7,10.3,3.5,4.7,1.1,0.8,0.7
2324,"Graphic and Web Designers, and Illustrators",37.7,31.4,16.6,4.1,7.0,1.0,0.3,1.9
2325,Interior Designers,39.6,35.2,15.3,3.2,4.5,1.0,0.6,0.7
2326,Urban and Regional Planners,33.3,26.4,22.5,3.2,9.0,3.8,0.7,1.0
2331,Chemical and Materials Engineers,24.3,13.6,30.6,4.8,21.2,1.5,1.5,2.5
2332,Civil Engineering Professionals,29.1,30.9,19.1,6.2,12.1,0.9,0.9,0.8
2333,Electrical Engineers,28.2,21.8,27.6,6.0,13.9,1.1,0.8,0.7
2334,Electronics Engineers,32.0,21.3,15.9,6.1,17.7,1.9,1.8,3.2
2335,"Industrial, Mechanical and Production Engineers",23.3,33.9,20.0,5.9,14.9,1.1,0.4,0.5
2336,Mining Engineers,7.1,3.9,22.1,4.5,59.9,0.7,1.1,0.6
2339,Other Engineering Professionals,28.3,36.3,15.2,7.3,9.6,0.8,0.7,1.8
2341,Agricultural and Forestry Scientists,19.2,18.4,27.9,12.4,9.5,8.9,1.8,2.0
2342,"Chemists, and Food and Wine Scientists",22.7,32.5,12.8,17.4,8.4,2.1,1.1,2.9
2343,Environmental Scientists,26.1,19.5,19.6,6.0,19.8,3.8,3.2,1.9
2344,"Geologists, Geophysicists and Hydrogeologists",6.9,12.3,19.4,4.1,51.8,2.6,1.3,1.6
2345,Life Scientists,22.9,23.2,19.3,9.6,12.7,5.8,2.4,4.1
2346,Medical Laboratory Scientists,25.8,34.5,20.1,6.9,9.5,1.2,0.7,1.4
2347,Veterinarians,20.0,34.3,26.5,4.4,8.4,3.1,0.9,2.5
2349,Other Natural and Physical Science Professionals,30.9,28.3,20.3,6.1,9.7,1.5,0.8,2.4
2411,Early Childhood (Pre-primary School) Teachers,37.0,35.3,13.7,5.3,4.8,1.3,0.8,1.6
2412,Primary School Teachers,32.3,24.9,20.2,6.2,11.7,1.9,1.3,1.6
2413,Middle School Teachers,10.9,24.5,10.3,21.6,6.4,6.4,13.2,6.8
2414,Secondary School Teachers,33.2,25.8,20.7,5.9,9.6,2.1,1.0,1.6
2415,Special Education Teachers,34.9,19.8,23.8,7.5,8.7,2.1,1.5,1.7
2421,University Lecturers and Tutors,31.5,29.7,16.1,5.7,11.2,1.7,0.7,3.4
2422,Vocational Education Teachers,34.5,26.0,16.0,5.7,13.4,2.0,1.0,1.3
2491,Education Advisers and Reviewers,31.7,31.7,13.6,3.8,12.3,2.5,1.0,3.3
2492,Private Tutors and Teachers,36.7,28.9,15.4,5.4,10.1,1.0,0.6,1.9
2493,Teachers of English to Speakers of Other Languages,36.1,26.4,13.8,5.8,9.6,3.0,2.7,2.6
2511,Nutrition Professionals,33.5,23.1,24.7,6.3,7.6,2.2,1.3,1.5
2512,Medical Imaging Professionals,29.9,34.1,15.6,6.6,9.6,1.5,0.8,1.9
2513,Occupational and Environmental Health Professionals,23.0,20.4,27.4,5.9,19.6,1.9,1.0,0.8
2514,Optometrists and Orthoptists,30.8,25.0,20.0,5.9,10.4,2.4,2.2,3.2
2515,Pharmacists,29.3,35.2,19.3,5.0,7.1,1.7,0.6,1.7
2519,Other Health Diagnostic and Promotion Professionals,28.0,36.8,9.3,8.7,10.4,2.0,2.6,2.1
2521,Chiropractors and Osteopaths,26.5,42.7,15.9,3.9,6.4,1.7,1.2,1.6
2522,Complementary Health Therapists,27.6,27.6,22.6,5.9,10.6,1.7,1.6,2.4
2523,Dental Practitioners,27.6,29.4,26.2,4.8,9.2,1.0,0.6,1.2
2524,Occupational Therapists,28.6,27.7,20.7,8.2,11.5,0.9,1.2,1.2
2525,Physiotherapists,29.5,27.9,18.6,8.3,11.8,1.1,1.2,1.5
2526,Podiatrists,28.9,36.5,14.7,6.0,8.0,2.5,1.7,1.8
2527,Audiologists and Speech Pathologists \ Therapists,32.2,24.1,20.7,9.1,10.5,1.1,0.7,1.7
2531,General Practitioners and Resident Medical Officers,25.8,26.7,22.1,8.1,12.6,1.4,1.4,1.9
2532,Anaesthetists,34.2,26.4,15.3,8.9,9.0,2.5,1.8,1.9
2533,Specialist Physicians,29.7,34.3,15.8,9.4,5.6,3.0,0.9,1.3
2534,Psychiatrists,29.7,34.4,15.2,10.5,4.0,2.4,1.6,2.2
2535,Surgeons,25.5,30.7,21.8,7.9,8.4,2.8,1.3,1.6
2539,Other Medical Practitioners,32.5,28.8,16.5,6.9,11.3,1.4,1.2,1.4
2541,Midwives,31.1,22.4,21.4,8.6,11.1,2.3,1.7,1.3
2542,Nurse Educators and Researchers,28.9,26.2,26.7,2.8,9.5,2.7,2.0,1.2
2543,Nurse Managers,29.8,24.3,21.9,9.5,8.2,3.6,1.3,1.4
2544,Registered Nurses,27.7,26.9,22.6,7.6,10.8,2.0,1.2,1.3
2611,ICT Business and Systems Analysts,34.7,36.2,14.8,3.7,5.9,1.0,0.3,3.4
2612,Multimedia Specialists and Web Developers,28.1,31.1,22.0,4.9,7.8,2.2,0.9,3.0
2613,Software and Applications Programmers,35.6,35.3,13.7,4.0,6.4,0.6,0.2,4.1
2621,"Database and Systems Administrators, and ICT Security Specialists",30.9,32.0,15.4,4.9,8.9,1.5,0.5,5.9
2631,Computer Network Professionals,38.9,29.1,10.9,5.8,8.8,1.0,1.0,4.6
2632,ICT Support and Test Engineers,39.6,22.4,18.3,6.5,7.5,1.1,0.7,4.0
2633,Telecommunications Engineering Professionals,42.0,34.3,8.5,2.5,7.0,1.4,0.8,3.6
2711,Barristers,38.5,31.9,12.1,4.9,6.2,2.1,1.6,2.7
2712,Judicial and Other Legal Professionals,27.4,24.6,18.1,6.0,10.6,3.0,1.8,8.5
2713,Solicitors,38.6,28.8,15.4,4.0,7.8,1.2,0.7,3.4
2721,Counsellors,23.1,25.1,32.0,9.1,6.2,1.2,1.9,1.5
2722,Ministers of Religion,29.8,18.6,23.3,9.2,13.2,2.8,1.2,1.9
2723,Psychologists and Psychotherapists,33.1,26.2,19.8,6.6,9.4,2.3,0.7,1.8
2724,Social Professionals,26.0,38.0,14.1,3.2,11.4,1.7,2.3,3.3
2725,Social Workers,21.9,31.6,22.9,9.6,8.5,2.5,1.4,1.5
2726,"Welfare, Recreation and Community Arts Workers",26.5,27.9,24.4,6.2,9.5,1.7,1.8,1.9
3111,Agricultural Technicians,17.4,27.7,23.2,5.6,11.0,7.0,3.7,4.4
3112,Medical Technicians,32.5,22.2,23.8,6.7,11.2,1.4,0.8,1.4
3113,Primary Products Inspectors,28.5,20.4,16.9,4.7,18.7,3.8,2.3,4.7
3114,Science Technicians,22.0,17.3,24.3,8.9,20.3,3.2,1.1,2.9
3121,"Architectural, Building and Surveying Technicians",31.1,25.8,21.8,5.6,12.0,1.7,0.8,1.2
3122,Civil Engineering Draftspersons and Technicians,29.7,13.7,25.9,9.4,17.1,1.5,1.5,1.2
3123,"Electrical Engineering Draftspersons, Technicians",27.0,25.1,23.4,5.3,14.4,2.2,1.4,1.1
3124,"Electronic Engineering Draftspersons, Technicians",31.8,19.9,24.3,8.6,9.9,1.8,1.7,2.0
3125,"Mechanical Engineering Draftspersons, Technicians",16.9,17.0,25.3,6.5,28.6,2.2,1.7,1.9
